"Measurement outcome","Frequency"
"0x20026043","1"
"0x20026100","1"
"0x20026130","1"
"0x20026142","1"
"0x20026502","1"
"0x20026803","1"
"0x2002803","1"
"0x2002a832","1"
"0x2002c101","1"
"0x2002d010","1"
"0x2003","1"
"0x2003000","1"
"0x20030010","3"
"0x20030013","1"
"0x2003002","1"
"0x20030021","1"
"0x20030103","1"
"0x20030443","1"
"0x20030523","1"
"0x20030833","1"
"0x20030900","1"
"0x20030912","1"
"0x20030d41","1"
"0x20031040","1"
"0x20031103","1"
"0x2003121","1"
"0x20032142","1"
"0x20032552","1"
"0x20032933","1"
"0x20033841","1"
"0x20033963","1"
"0x20034000","1"
"0x20034011","1"
"0x20034030","1"
"0x20034060","1"
"0x20034111","1"
"0x20034120","1"
"0x20034142","1"
"0x20034522","1"
"0x20034d11","1"
"0x2003503","1"
"0x20035103","1"
"0x20035413","1"
"0x20036040","1"
"0x20036402","1"
"0x20036420","1"
"0x20036501","1"
"0x20036822","1"
"0x20036c31","1"
"0x20037122","1"
"0x20037510","1"
"0x2003900","1"
"0x2003c040","1"
"0x2003c122","1"
"0x2003c512","1"
"0x2004001","1"
"0x2004062","1"
"0x2004070","1"
"0x2004111","1"
"0x2004122","1"
"0x2004152","1"
"0x20043","1"
"0x2004500","1"
"0x2004842","1"
"0x2004c71","1"
"0x2005043","1"
"0x2005163","1"
"0x2005541","1"
"0x2006013","1"
"0x2006032","1"
"0x2006060","1"
"0x2006143","1"
"0x20063","1"
"0x2006441","1"
"0x2006800","1"
"0x2006803","1"
"0x2007523","1"
"0x2007963","1"
"0x2008053","1"
"0x2009110","1"
"0x200b902","1"
"0x200c010","1"
"0x200ec03","1"
"0x2010","1"
"0x2010003","1"
"0x2010010","1"
"0x2010022","2"
"0x2010073","1"
"0x2010103","1"
"0x2010111","1"
"0x20103","1"
"0x2010413","1"
"0x2010500","1"
"0x2010502","1"
"0x2010503","1"
"0x2010523","1"
"0x2010801","1"
"0x2010802","1"
"0x2010900","1"
"0x2011041","1"
"0x2011042","1"
"0x2011141","1"
"0x2011162","1"
"0x2011823","1"
"0x2011901","1"
"0x2011922","1"
"0x2011d41","1"
"0x20120","1"
"0x2012001","1"
"0x2012022","1"
"0x2012043","1"
"0x2012102","1"
"0x2012162","1"
"0x2012500","1"
"0x2012810","1"
"0x2012903","1"
"0x2013100","1"
"0x2013103","1"
"0x2013143","1"
"0x20133","1"
"0x2014000","1"
"0x2014002","1"
"0x2014003","2"
"0x2014022","1"
